time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0.59,291,10,0.9969201,10.38184,1.999844,2.000184,3.999643,10.00047,10.00002,5.000065,1.991277,24.39612,1.998775,1.00227,4.924391
0.60,290,10,0.9966072,10.38259,1.999794,2.000207,3.999628,10.00046,10.00003,5.000085,1.991277,24.39612,1.998775,1.00227,4.924391
0.61,290,10,0.9966072,10.38259,1.999794,2.000207,3.999628,10.00046,10.00003,5.000085,1.991277,24.39612,1.998775,1.00227,4.924391
0.62,290,10,0.9966072,10.38259,1.999794,2.000207,3.999628,10.00046,10.00003,5.000085,1.991277,24.39612,1.998775,1.00227,4.924391
0.63,291,10,0.9966871,10.39345,1.999868,2.00022,3.999644,10.00048,9.999997,5.000094,1.991277,24.39612,1.998775,1.00227,4.924391
0.64,291,10,0.9966871,10.39345,1.999868,2.00022,3.999644,10.00048,9.999997,5.000094,1.991277,24.39612,1.998775,1.00227,4.924391
0.65,292,10,0.9959592,10.38588,1.999812,2.000205,3.999672,10.00041,10.00006,5.000029,1.991277,24.39612,1.998775,1.00227,4.924391
0.66,292,10,0.9959592,10.38588,1.999812,2.000205,3.999672,10.00041,10.00006,5.000029,1.991277,24.39612,1.998775,1.00227,4.924391
0.67,291,11,0.9964142,10.39356,1.999816,2.000283,3.999618,10.00037,10.00005,5.000012,1.99229,24.39688,1.998613,1.002891,4.852245
0.68,291,11,0.9964142,10.39356,1.999816,2.000283,3.999618,10.00037,10.00005,5.000012,1.99229,24.39688,1.998613,1.002891,4.852245
0.69,291,11,0.9964142,10.39356,1.999816,2.000283,3.999618,10.00037,10.00005,5.000012,1.99229,24.39688,1.998613,1.002891,4.852245
0.70,291,11,0.9964142,10.39356,1.999816,2.000283,3.999618,10.00037,10.00005,5.000012,1.99229,24.39688,1.998613,1.002891,4.852245
0.71,292,11,0.9964354,10.39608,1.999847,2.00021,3.999531,10.00042,10.00005,5.000015,1.99229,24.39688,1.998613,1.002891,4.852245
0.72,293,11,0.9957563,10.40523,1.999833,2.000179,3.999493,10.00047,10.00008,5.000004,1.99229,24.39688,1.998613,1.002891,4.852245
0.73,293,11,0.9957563,10.40523,1.999833,2.000179,3.999493,10.00047,10.00008,5.000004,1.99229,24.39688,1.998613,1.002891,4.852245
0.74,293,11,0.9957563,10.40523,1.999833,2.000179,3.999493,10.00047,10.00008,5.000004,1.99229,24.39688,1.998613,1.002891,4.852245
0.75,293,11,0.9957563,10.40523,1.999833,2.000179,3.999493,10.00047,10.00008,5.000004,1.99229,24.39688,1.998613,1.002891,4.852245
0.76,293,11,0.9958348,10.43557,1.999922,2.000239,3.999444,10.00039,10.00021,4.999979,1.99229,24.39688,1.998613,1.002891,4.852245
0.77,292,11,0.9957578,10.43633,1.999992,2.000221,3.999448,10.00039,10.00022,4.999969,1.99229,24.39688,1.998613,1.002891,4.852245
0.78,292,11,0.9957578,10.43633,1.999992,2.000221,3.999448,10.00039,10.00022,4.999969,1.99229,24.39688,1.998613,1.002891,4.852245
0.79,292,11,0.9957578,10.43633,1.999992,2.000221,3.999448,10.00039,10.00022,4.999969,1.99229,24.39688,1.998613,1.002891,4.852245
0.80,292,11,0.9957578,10.43633,1.999992,2.000221,3.999448,10.00039,10.00022,4.999969,1.99229,24.39688,1.998613,1.002891,4.852245
0.81,292,11,0.9957578,10.43633,1.999992,2.000221,3.999448,10.00039,10.00022,4.999969,1.99229,24.39688,1.998613,1.002891,4.852245
0.82,292,11,0.9957578,10.43633,1.999992,2.000221,3.999448,10.00039,10.00022,4.999969,1.99229,24.39688,1.998613,1.002891,4.852245
0.83,292,11,0.9957578,10.43633,1.999992,2.000221,3.999448,10.00039,10.00022,4.999969,1.99229,24.39688,1.998613,1.002891,4.852245
0.84,292,11,0.9957578,10.43633,1.999992,2.000221,3.999448,10.00039,10.00022,4.999969,1.99229,24.39688,1.998613,1.002891,4.852245
0.85,291,11,0.9957594,10.42973,1.999972,2.000248,3.999447,10.00041,10.00027,5.000035,1.99229,24.39688,1.998613,1.002891,4.852245
