time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0.84,1008,10,1.004509,9.908199,1.999946,2.000009,4.000155,9.999507,10.00005,5.000117,1.819366,25.43101,2.001892,1.004584,5.138918
0.85,1008,10,1.004509,9.908199,1.999946,2.000009,4.000155,9.999507,10.00005,5.000117,1.819366,25.43101,2.001892,1.004584,5.138918
0.86,1008,10,1.004509,9.908199,1.999946,2.000009,4.000155,9.999507,10.00005,5.000117,1.819366,25.43101,2.001892,1.004584,5.138918
0.87,1007,10,1.004722,9.90705,1.999942,2.000017,4.000142,9.999508,10.00004,5.000127,1.819366,25.43101,2.001892,1.004584,5.138918
0.88,1007,10,1.004722,9.90705,1.999942,2.000017,4.000142,9.999508,10.00004,5.000127,1.819366,25.43101,2.001892,1.004584,5.138918
0.89,1008,10,1.00467,9.905324,1.99991,1.999997,4.000121,9.999523,10.00005,5.000132,1.819366,25.43101,2.001892,1.004584,5.138918
0.90,1008,10,1.00467,9.905324,1.99991,1.999997,4.000121,9.999523,10.00005,5.000132,1.819366,25.43101,2.001892,1.004584,5.138918
0.91,1008,10,1.00467,9.905324,1.99991,1.999997,4.000121,9.999523,10.00005,5.000132,1.819366,25.43101,2.001892,1.004584,5.138918
0.92,1008,10,1.00467,9.905324,1.99991,1.999997,4.000121,9.999523,10.00005,5.000132,1.819366,25.43101,2.001892,1.004584,5.138918
0.93,1008,10,1.00467,9.905324,1.99991,1.999997,4.000121,9.999523,10.00005,5.000132,1.819366,25.43101,2.001892,1.004584,5.138918
0.94,1009,10,1.004678,9.897473,1.999894,1.999975,4.00014,9.999507,10.00005,5.000137,1.819366,25.43101,2.001892,1.004584,5.138918
0.95,1009,10,1.004678,9.897473,1.999894,1.999975,4.00014,9.999507,10.00005,5.000137,1.819366,25.43101,2.001892,1.004584,5.138918
0.96,1011,10,1.004516,9.893902,1.999898,1.999972,4.00015,9.999505,10.00008,5.000138,1.819366,25.43101,2.001892,1.004584,5.138918
0.97,1011,10,1.004516,9.893902,1.999898,1.999972,4.00015,9.999505,10.00008,5.000138,1.819366,25.43101,2.001892,1.004584,5.138918
0.98,1011,10,1.004517,9.896834,1.999902,1.999975,4.000156,9.999532,10.00008,5.000145,1.819366,25.43101,2.001892,1.004584,5.138918
0.99,1013,10,1.004754,9.904546,1.999919,1.999963,4.000169,9.999518,10.00012,5.000131,1.819366,25.43101,2.001892,1.004584,5.138918
1.00,1013,10,1.004842,9.910033,1.999909,1.999972,4.000164,9.999552,10.00012,5.00014,1.819366,25.43101,2.001892,1.004584,5.138918
1.01,1014,10,1.004804,9.905219,1.999931,1.999987,4.00016,9.999571,10.0001,5.000154,1.819366,25.43101,2.001892,1.004584,5.138918
1.02,1018,10,1.005026,9.906796,1.999936,1.999927,4.000154,9.999574,10.00009,5.000166,1.819366,25.43101,2.001892,1.004584,5.138918
1.03,1019,10,1.004876,9.900351,1.999905,1.999905,4.000172,9.999554,10.00012,5.00019,1.819366,25.43101,2.001892,1.004584,5.138918
1.04,1018,10,1.004882,9.901873,1.999907,1.999912,4.000181,9.999555,10.00011,5.000206,1.819366,25.43101,2.001892,1.004584,5.138918
1.05,1019,10,1.004842,9.897917,1.999906,1.999886,4.00017,9.999555,10.0001,5.000206,1.819366,25.43101,2.001892,1.004584,5.138918
1.06,1020,10,1.005066,9.895558,1.999912,1.999885,4.000153,9.999554,10.00011,5.000218,1.819366,25.43101,2.001892,1.004584,5.138918
1.07,1021,10,1.005046,9.898832,1.999915,1.999891,4.000142,9.999538,10.00011,5.000209,1.819366,25.43101,2.001892,1.004584,5.138918
1.08,1022,10,1.004891,9.905424,1.999918,1.999894,4.000159,9.999547,10.00011,5.000203,1.819366,25.43101,2.001892,1.004584,5.138918
1.09,1025,10,1.00464,9.914455,1.999942,1.999888,4.000175,9.999494,10.00011,5.000202,1.819366,25.43101,2.001892,1.004584,5.138918
1.10,1026,10,1.004813,9.912249,1.999931,1.999879,4.000179,9.999481,10.00011,5.000225,1.819366,25.43101,2.001892,1.004584,5.138918
1.11,1026,10,1.004813,9.912249,1.999931,1.999879,4.000179,9.999481,10.00011,5.000225,1.819366,25.43101,2.001892,1.004584,5.138918
1.12,1029,10,1.004862,9.921127,1.999936,1.999829,4.000188,9.999479,10.00011,5.000237,1.819366,25.43101,2.001892,1.004584,5.138918
1.13,1031,10,1.004991,9.924742,1.999899,1.999832,4.000243,9.999495,10.00013,5.00024,1.819366,25.43101,2.001892,1.004584,5.138918
1.14,1032,10,1.00473,9.927132,1.999874,1.999825,4.000232,9.999488,10.00012,5.000244,1.819366,25.43101,2.001892,1.004584,5.138918
1.15,1032,10,1.00473,9.927132,1.999874,1.999825,4.000232,9.999488,10.00012,5.000244,1.819366,25.43101,2.001892,1.004584,5.138918
1.16,1032,10,1.00473,9.927132,1.999874,1.999825,4.000232,9.999488,10.00012,5.000244,1.819366,25.43101,2.001892,1.004584,5.138918
1.17,1034,10,1.004754,9.928738,1.999883,1.999823,4.000242,9.999471,10.00012,5.00021,1.819366,25.43101,2.001892,1.004584,5.138918
1.18,1037,10,1.004726,9.931726,1.999881,1.999823,4.000246,9.999472,10.00015,5.00021,1.819366,25.43101,2.001892,1.004584,5.138918
1.19,1036,10,1.004736,9.937441,1.999872,1.999834,4.000251,9.999476,10.00014,5.000203,1.819366,25.43101,2.001892,1.004584,5.138918
1.20,1039,10,1.004633,9.939927,1.999894,1.999852,4.000272,9.999491,10.00014,5.000192,1.819366,25.43101,2.001892,1.004584,5.138918
1.21,1040,10,1.004611,9.944663,1.999905,1.999837,4.000242,9.99948,10.0001,5.000186,1.819366,25.43101,2.001892,1.004584,5.138918
